Be553,Be95,G. C,AynCDM16,AynCDM18,Mo417,G. A,G. B,CaH156,CaH160,StPS26,TelK104,Vi7,NH3,Bi583,Ev1,StP4 (IOM),Ye72a,StPSnd104,LoA16,Pa425,NY2941/2,Pr2,MosRSL78,NY2941/3,Lo6673,StPS1
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>bsryʔ</residence></persName>,<persName><status>mry</status> <forename>qmyšwʕ</forename></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",<persName><status>mry</status> <forename>yʕqwb</forename> <virtue>mpsqʔ</virtue></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>rwstqʔ</residence></persName>,<persName><forename>pwbʔ</forename></persName>,,<persName><forename>yʕqwb</forename> <nationality>gwrgyʔ</nationality></persName>,<persName><forename>ywḥnn</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>znʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <trait>zrwqʔ</trait></persName>,,"<persName ref=""mry ywḥnn br nrsy""><status>mry</status> <forename>ywḥnn</forename> <addName>br nrsy</addName></persName>","<persName ref=""mry kwdʔhwy dbyt ḥlʔ""><status>mry</status> <forename>kwdʔhwy</forename> d<residence>byt wylʔ</residence></persName>","<persName ref=""mry nrsy""><forename>nrsy</forename></persName>​",<persName><status>rbn</status> <forename>hwrmyzd</forename></persName>,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšh</addName></persName>",,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ḥwṭrʔ</residence></persName>,"<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>pnkyʔ</residence></persName>",<persName><forename>ywndb</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔrbl</residence></persName>,<persName><status>mry</status> <forename>ʔpnymrn</forename></persName>,<persName><forename>pwbʔ</forename></persName>,<persName><status>mry</status> <forename>šbwr</forename></persName>,<persName><status>mry</status> <forename>ʔzd</forename></persName>,<persName><forename>ṭbytʔ</forename></persName>,,<persName><status>mry</status> <forename>šbwr</forename></persName>,<persName><status>mry</status> <forename>qwryqws</forename></persName>,,<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔnbr</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>šnʔ</residence></persName>,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <addName>br zwʕby</addName></persName>",<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔnbr</residence></persName>,<persName><forename>šbwr</forename></persName>,<persName><status>mry</status> <forename>yʕqwb</forename> d<residence>byt ʕbʔ</residence></persName>,<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔnbr</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>kškryʔ</residence></persName>,"<persName ref=""mry ywḥnn mpnʔ šʔln""><status>mry</status> <forename>ywḥnn</forename> <addName>mpnʔ šʔln</addName></persName>","<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <virtue>shdtʔ</virtue></persName>",
,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔbylʔ</virtue></persName>,<persName><status>mry</status> <forename>mmʔ</forename></persName>,<persName><forename>ṭbytʔ</forename></persName>,<persName><status>mry</status> <forename>qwrṭʔ</forename></persName>,<persName><status>mry</status> <forename>bwktzd</forename></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",,<persName><status>mry</status> <forename>bhyšwʕ</forename> d<residence>ṭrwn</residence></persName>,<persName><status>mry</status> <forename>tʔwmʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>rwstqʔ</residence></persName>,"<persName ref=""mry ywḥnn ʕlymʔ""><status>mry</status> <forename>ywḥnn</forename> <trait>ʕlymʔ</trait></persName>",,"<persName ref=""mry ywḥnn br llš""><status>mry</status> <forename>ywḥnn</forename> d<residence>llš</residence></persName>","<persName ref=""mry šmʕwn dʔsṭwnʔ""><status>mry</status> <forename>šmʕwn</forename> <virtue>dʔsṭwnh</virtue></persName>",<persName><status>mry</status> <forename>br ṣwmʔ</forename> <virtue>mlpnʔ</virtue></persName>,<persName><status>mry</status> <forename>zyʕʔ</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>znʔ</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryyʔ</virtue></persName>,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšh</addName></persName>",<persName><forename>pwbʔ</forename></persName>,
,,,,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,<persName><status>mry</status> <forename>gwsʔ</forename></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",<group>shdʔ ddyrʔ dʕdrʔ</group>,<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><forename>mrtʔ</forename></persName>,,<persName><status>mry</status> <forename>gwnrsy</forename></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,<persName><status>mry</status> <forename>ʔzd</forename></persName>,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",<persName><status>mry</status> <forename>gbryl</forename></persName>,<persName><status>rbn</status> <forename>yzd</forename></persName>,<persName><status>mry</status> <forename>ʕzyzʔ</forename></persName>,<persName><status>mry</status> <forename>ʔzd</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dkwmwlyʔ</virtue></persName>,<persName><status>mry</status> <forename>ywnn</forename> d<residence>ʔnbr</residence></persName>,<persName><forename>ṭbytʔ</forename></persName>,
,,,,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,<persName><status>mry</status> <forename>šbwr</forename></persName>,<persName><forename>mrtʔ</forename></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",<persName><status>mry</status> <forename>šmʕwn</forename></persName>,<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,,<persName><status>mry</status> <forename>swlṣ</forename> <addName>kwnšw</addName></persName>,<persName><forename>ʔndrʔws</forename></persName>,,<persName><status>mry</status> <forename>bwktzd</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename></persName>,,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",<persName><status>mry</status> <forename>yʕqwb</forename> <virtue>mpsqʔ</virtue></persName>,<persName><status>rbn</status> <forename>ʔtyn</forename></persName>​,<persName><status>rbn</status> <forename>br ʕdtʔ</forename></persName>,<persName><status>mry</status> <forename>bwktzd</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>dznh</addName></persName>,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",
,,,,<persName><status>mry</status> <forename>qwzmʔ</forename></persName>,<persName><status>rbn</status> <forename>mnšʔ</forename></persName>,<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyh</personGrp></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,,<persName><virtue>shdʔ</virtue> d<residence>byt grmy</residence></persName>,,,<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>grmwn</residence></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔpmyʔ</residence></persName>,<persName><status>mry</status> <forename>qwrṭʔ</forename></persName>,<persName><status>mry</status> <forename>mykʔyl</forename> <virtue>bdwqʔ</virtue></persName>,"<persName ref=""mry sbryšwʕ dbyt qwqʔ""><status>mry</status> <forename>sbryšwʕ</forename> d<residence>byt qwqʔ</residence></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,,"<persName ref=""mry ywḥnn nḥlyʔ""><status>mry</status> <forename>ywḥnn</forename> d<residence>nḥlʔ</residence></persName>",<persName><status>mry</status> <forename>ʔzd</forename></persName>,<persName><forename>mrtʔ</forename></persName>,
,,,,"<persName ref=""mry ʔprym""><status>rbn</status> <forename>ʔprym</forename></persName>",<persName><status>rbn</status> <forename>hwrmyzd</forename></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,<persName><forename>br shdʔ</forename></persName>,<persName><status>mry</status> <forename>gywrgys</forename></persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",,<persName><virtue>shdʔ</virtue> d<residence>ṭwrʔ dʕdry</residence> wd<residence>ṭwrʔ dḥny</residence></persName>,,,<persName><status>mry</status> <forename>šmʕwn</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔsnk</residence></persName>,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",<persName><status>mry</status> <forename>šbwr</forename> w<personGrp>ḥth</personGrp></persName>,"<persName ref=""mry lwlynʔ""><status>mry</status> <forename>lwlynʔ</forename></persName>",<persName><status>rbn</status> <forename>ywsp</forename> <virtue>ḥzyʔ</virtue></persName>,"<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> r<residence>šnʔ</residence></persName>",,"<persName ref=""mry ywḥnn dblwqw""><status>mry</status> <forename>ywḥnn</forename> db<residence>lwqyʔ</residence></persName>",<persName><status>mry</status> <forename>bwktzd</forename></persName>,<persName><forename>mrym</forename> <residence>mgdlytʔ</residence></persName>,
,,,,"<persName ref=""mry nrsy""><status>mry</status> <forename>nrsy</forename> <virtue>mlpnʔ</virtue></persName>",<persName><status>mry</status> <forename>ywzdq</forename></persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",<persName><status>mry</status> <forename>mrwtʔ</forename> w<personGrp>ʔḥwh dʔmh</personGrp></persName>,"<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>","<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>",,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",,,<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,,,"<persName ref=""mry ywḥnn kmwlyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>kmwlyʔ</residence></persName>",<group>shdʔ d<residence>dyrʔ dʕdwʔ</residence></group>,<persName><status>rbn</status> <forename>ʔsṭpnws</forename> <virtue>ṭwryʔ</virtue></persName>,"<persName ref=""mry qrdg""><status>mry</status> <forename ref=""qrdg"">qrʔdg</forename></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>mry</status> <forename>ʔḥʔ</forename></persName>,
,,,,<persName><status>mry</status> <forename>šbwr</forename></persName>,<persName><status>rbn</status> <forename>pkwm</forename></persName>,,"<persName ref=""ʕbdllʔ ddwkrnʔ""><forename>ʕbdllʔ</forename> <addName>ddwkrnʔ</addName></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,,,lost part of the folio,,,<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔrzwnyʔ</residence></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> <personGrp>dḥyʔ mskynwtʔ bnyšh dḥr shdʔ </personGrp></persName>","<persName ref=""mry ʔlyʔ ʔbw ḥlym""><status>mry</status> <forename>ʔlyʔ</forename> <addName>ʔbwḥlym</addName></persName>",<persName><status>mry</status> <forename>ṭlyʔ</forename></persName>,<persName><status>mry</status> <forename>gywrgys</forename> <virtue>shdʔ</virtue></persName>,,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><status>mry</status> <forename>šmʕwn</forename> <virtue>ršyʔ</virtue></persName>,"<persName ref=""mry ʕbdyšwʕ""><status>mry</status> <forename>ʕbdyšwʕ</forename></persName>",
,,,,<persName><status>rbn</status> <forename>zdpnʔ</forename></persName>,<persName><forename>ḥnwk</forename> <trait>ṭwbnʔ</trait></persName>,,<persName><status>mry</status> <forename>gwštzd</forename></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,,<persName><forename>ʔbrhm</forename> <residence>nrtpryʔ</residence></persName>,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>byt qrdw</residence></persName>,<persName><status>mry</status> <forename>mrwtʔ</forename> w<personGrp>ʔḥwh dʔmh</personGrp></persName>,<persName><status>rbn</status> <forename>mrnʕmh</forename></persName>,<persName><status>mry</status> <forename>ʕbdyšwʕ</forename> <virtue>nwkryṭʔ</virtue></persName>,"<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>",,"<persName ref=""mry ywḥnn br pnkyʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>br pnkyʔ</addName></persName>",<persName><status>mry</status> <forename>ʔbrhm</forename></persName>,"<persName ref=""mrty mrym ṭwbnytʔ""><status>mrty</status> <forename>mrym</forename> <trait>ṭwbnytʔ</trait></persName>",
,,,,<persName><status>mry</status> <forename>br ṣwmʔ</forename></persName>,<persName><forename>ʔlyʔ</forename> <trait>ṭwbnʔ</trait></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>šnʔ</residence></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,,<persName><status>mry</status> <forename>gywrgys</forename></persName>,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>qywmʔ</virtue></persName>,"<persName ref=""ʕbdllʔ ddwkrnʔ""><forename>ʕbdllʔ</forename> <addName>ddwkrnh</addName></persName>",<persName><status>mry</status> <forename>gwnrys</forename></persName>,"<persName ref=""mry šlyṭʔ drš ʕynʔ""><status>mry</status> <forename>šlyṭʔ</forename> d<residence>rš ʕynʔ</residence></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <addName>br kldwn</addName></persName>,<persName><status>mry</status> <forename>gywrgys</forename></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",
,,,,<persName><status>mry</status> <forename>mykʔyl</forename></persName>,"<persName ref=""mry ywḥnn mʕmdnʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>mʕmdnʔ</virtue></persName>",,<persName><status>mry</status> <forename>ysḥq</forename></persName>,"<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtlt mʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",,,<persName><status>mry</status> <forename>qwryqws</forename></persName>,,,,,,"<persName ref=""mry ywḥnn ʔwnlmʔ""><status>mry</status> <forename>ywḥnn</forename> <addName>ʔwnlmʔ</addName></persName>",<persName><status>mry</status> <forename>gwštzd</forename></persName>,"<persName ref=""mry ʔbrhm qydwnyʔ""><status>mry</status> <forename>ʔbrhm</forename> <residence>qndwnyʔ</residence></persName>",<persName><status>rbn</status> <forename>ʔhrwn</forename></persName>,<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>nwkryṭʔ</virtue></persName>,"<persName ref=""mry qwryqws shdʔ""><status>mry</status> <forename>qwryqws</forename> <virtue>shdʔ</virtue></persName>",,
,,,,<persName><status>rbn</status> <forename>ʔtry</forename></persName>,"<persName ref=""mry ywḥnn ʔwnglsṭʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ʔwnglsṭʔ</virtue></persName>",,<persName><status>mry</status> <forename>gywrgys</forename></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",,,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,,,,,"<persName ref=""mry ywḥnn tlmydʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>tlmykʔ</virtue></persName>","<persName ref=""mry šmʕwn dšnʔ""><status>mry</status> <forename>šmʕwn</forename> d<residence>šnʔ</residence></persName>",<persName><status>mry</status> <forename>dnyʔyl</forename> d<residence>glwn</residence></persName>,<persName><status>mry</status> <forename>ppʔ</forename></persName>,"<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,"<persName ref=""mry ywḥnn ddsn""><status>mry</status> <forename>ywḥnn</forename> d<residence>dsn</residence></persName>",<persName><status>mry</status> <forename>tʔwmʔ</forename> <virtue>šlyḥʔ</virtue></persName>,,
,,,,"<persName ref=""mry lwlynʔ""><status>mry</status> <forename>lwlynʔ</forename></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <residence>ʔgbṭyʔ</residence></persName>,,<group>shdʔ d<residence>ṭwrʔ dnyḥ</residence></group>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",,,"<persName ref=""srgys""><status>mry</status> <forename>srgys</forename></persName>",,,,,,"<persName ref=""mry ywḥnn qnqlyʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>qlyʔ</virtue></persName>",<persName><status>mry</status> <forename>ʔysḥq</forename></persName>,<persName><status>mry</status> <forename>ʔbymlk</forename></persName>,"<persName ref=""mry sbʔ ʔsyʔ drwḥtʔ""><status>mry</status> <forename>sbʔ</forename> <virtue>ʔsyʔ drwḥʔ</virtue></persName>","<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dyrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",,"<persName ref=""mry ywḥnn dʔnzl""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔnzl</residence></persName>",<persName><status>mry</status> <forename>ʔwgyn</forename></persName>,,
,,,,<persName><status>rbn</status> <forename>yzdyn</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,,<persName><status>mry</status> <forename>brkyšwʕ</forename></persName>,<persName><forename>šwšn</forename></persName>,,,"<persName ref=""bkws""><status>mry</status> <forename>bkws</forename></persName>",,,,,,"<persName ref=""mry ywḥnn ǧlwyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>ǧlwyʔ</residence></persName>",<persName><status>mry</status> <forename>ṣlybʔ</forename></persName>,<persName><status>mry</status> <forename>ywnn</forename> d<trait>ɁrywtɁ</trait></persName>,<persName><status>mry</status> <forename>bby</forename> d<residence>swmqʔ</residence></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",,"<persName ref=""mry ywḥnn dšh""><status>mry</status> <forename>ywḥnn</forename> <addName>dšhh</addName></persName>","<persName ref=""mry šlyṭʔ""><status>mry</status> <forename>šlyṭʔ</forename></persName>",,
,,,,<persName><status>mry</status> <forename>ʔsṭpnws</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,,<persName><status>mry</status> <forename>brqwsrʔ</forename></persName>,<persName><forename>ʔnhyr</forename></persName>,,,<persName><status>rbn</status> <forename>bnymyn</forename></persName>,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<addName>byt rbn</addName></persName>,"<persName ref=""mry ṭṭws""><status>mry</status> <forename>ṭṭws</forename></persName>",,<persName><status>mry</status> <forename>zʕwrʔ</forename></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",,"<persName ref=""mry ywḥnn dʔšnwk""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔšnwk</residence></persName>","<persName ref=""mry dwbynʔ ršʔ dʔbylʔ wtltmʔʔ ddyrʔ ʕlytʔ dbyt sdrʔ""><status>mry</status> <forename>dwbynʔ</forename> <virtue>ršʔ d<virtue>ʔbylʔ</virtue> wtltmʔʔ d<residence>dynrʔ ʕlytʔ dbyt sdrʔ</residence></virtue></persName>",,
,,,,"<persName ref=""mry ʔlyʔ ʔbw ḥlym""><status>mry</status> <forename>ʔlyʔ</forename> <addName>ʔbwḥlym</addName></persName>",<persName><status>mry</status> <forename>ywḥnn</forename> <nationality>ṭyyʔ</nationality></persName>,,<persName><status>mry</status> <forename>ʔlyʔ</forename></persName>,<persName><forename>trbw</forename></persName>,,,<persName><status>rbn</status> <forename>br ʕdtʔ</forename></persName>,,,,,,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgtryʔ</residence></persName>","<persName ref=""mry mrnzkʔ""><status>mry</status> <forename>mrnzkʔ</forename></persName>",,<persName><forename>yšwʕ</forename> d<residence>kwsyth</residence></persName>,<persName><forename>šwšn</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>dmbdrʔ</virtue></persName>,"<persName ref=""šmwny wbnyh""><forename>šmwny</forename> w<personGrp>bnyh</personGrp></persName>",,
,,,,<persName><status>rbn</status> <forename>mrn ʕmh</forename></persName>,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>rʕyʔ</virtue></persName>,,<persName><status>mry</status> <forename>gbryl</forename></persName>,"<persName ref=""prwgyṭʔ""><forename>prwṭytʔ</forename></persName>",,,<persName><forename>ʔnhyr</forename></persName>,,,,,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ṭbytʔ</residence></persName>,<persName><status>mry</status> <forename>šlymwn</forename></persName>,,<persName><forename>pwlws</forename> <trait>štyqɁ</trait></persName>,<persName><forename>ʔnhyr</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>shdʔ</virtue></persName>,"<persName ref=""mskntʔ wtryn bnyh""><forename>mskntʔ</forename> w<personGrp>tryn bnyn</personGrp></persName>",,
,,,,"<persName ref=""mry sbryšwʕ dbyt qwqʔ""><status>mry</status> <forename>sbryšwʕ</forename> d<residence>byt qwqʔ</residence></persName>","<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>",,<persName><status>mry</status> <forename>mykʔyl</forename></persName>,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,,,"<persName ref=""ʔnsymws brt mlkʔ""> <forename>ʔnsymws</forename> <addName>brt mlkʔ</addName></persName>",,,,,,"<persName ref=""mry ywḥnn dqnh""><status>mry</status> <forename>ywḥnn</forename> <addName>dqnh</addName></persName>",<persName><status>mry</status> <forename>gywrgys</forename> d<residence>nyḥ</residence></persName>,,<persName><status>mry</status> <forename>qwmʔ</forename></persName>,<persName><forename>trbw</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <residence>dlyyʔ</residence></persName>,<persName><forename>šwšn</forename></persName>,,
,,,,<persName><status>mry</status> <forename>gywrgys</forename></persName>,"<persName ref=""mry ywḥnn ṭwryʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṭwryʔ</virtue></persName>",,<persName><status>rbn</status> <forename>hwrmyzd</forename></persName>,"<persName ref=""ṣwlṭn mdwq""><forename>ṣwltn mdws</forename></persName>",,,<persName><status>mry</status> <forename>ssn</forename></persName>,,,,,,"<persName ref=""mry ywḥnn šmšṭyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>šmšṭyʔ</residence></persName>",<persName><status>mry</status> <forename>brkyšʕ</forename></persName>,,"<persName ref=""mry dwmsṭynʔ""><status>mry</status> <forename ref=""dwmsṭynʔ"">dwmṭsṭynʔ</forename></persName>","<persName ref=""prwgyṭʔ""><forename>prwgyṭʔ</forename></persName>",,"<persName ref=""mry ywḥnn ṣwṣynʔ""><status>mry</status> <forename>ywḥnn</forename> <virtue>ṣwṣnyʔ</virtue></persName>",<persName><forename>ʔnhr</forename></persName>,,
,,,,<persName><status>mry</status> <forename>ʔbrhm</forename> <virtue>qtwlyqʔ</virtue></persName>,"<persName ref=""mry ywḥnn tgrytyʔ""><status>mry</status> <forename>ywḥnn</forename> <residence>tgtryʔ</residence></persName>",,<persName><status>mry</status> <forename>yʕqwb</forename> d<residence>byt ʕbʔ</residence></persName>,<persName><forename>tqlʔ</forename></persName>,,,<persName><status>mry</status> <forename>myls</forename></persName>,,,,,,"<persName ref=""mry ywḥnn dʔwrmy""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔwrmy</residence></persName>",<persName><status>br</status> <forename>br qwsrʔ</forename></persName>,,<persName><status>mry</status> <forename>gbryl</forename></persName>,<persName><forename>ʔsṭrṭnyqʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> d<residence>ṭbytʔ</residence></persName>,<persName><forename>trbw</forename></persName>,,
,,,,<persName><status>mry</status> <forename>dnyʔyl</forename></persName>,"<persName ref=""mry ywḥnn br zwʕby""><status>mry</status> <forename>ywḥnn</forename> <residence>zwʕbyʔ</residence></persName>",,"<persName ref=""rbn ptywn ddsn""><status>rbn</status> <forename>ptywn</forename> d<residence>dsn</residence></persName>",<persName><forename>hlnʔ</forename></persName>,,,<persName><status>mry</status> <forename>nšryw</forename></persName>,,,,,,"<persName ref=""mry ywḥnn dʔzrq""><status>mry</status> <forename>ywḥnn</forename> d<residence>ʔzrq</residence></persName>",<persName><status>mry</status> <forename>ʔylyʔ</forename></persName>,,"<persName ref=""mry qwryqws ṭlyʔ""><status>mry</status> <forename>qwryqws</forename> <trait>ṭlyʔ</trait></persName>",<persName><forename>tqlʔ</forename></persName>,,<persName><status>mry</status> <forename>ywḥnn</forename> <virtue>klbyʔ</virtue></persName>,"<persName ref=""prwgyṭʔ""><forename>prwlgyṭʔ</forename></persName>",,
